text,vulgar,hate,religious,threat,troll,Insult
রুমিন রা ক্ষমতায় থাকলে ২১ শে আগস্টের মত গ্রেনেড হামলা করে কবেই আওয়ামিলীগ কে উরিয়ে দেয়া হত।,0,0,0,1,0,0
অসাধারন শেষ দৃশ্য টাখুব বলে লেগেছে,0,0,0,0,0,0
নাটক টা দারুন কিন্তু জেরিনের সাথে দেখা হওয়ার দরকার ছিল,0,0,0,0,0,0
‘ওহ মাই গড...কোর্টে কেন?’,0,0,0,0,0,0
থার্টিফার্স্ট নাইট ইসলামী সংস্কৃতি নয় কোন মুসলিম অপসংস্কৃতির জোয়ারে নিজেদের কে ভাসিয়ে দিতে পারে না,0,0,1,0,0,0
বেচারা,0,0,0,0,0,0
কোনো নাটক এরকম দেখি নাই যেখানে নামাজ পড়ার কথা বলা হয়েছে বাট এই নাটকে নামাজের প্রতি তাগিদ এর কথা বলা দেখে আমি অনেক খুশি অনেক ভালি লাগলো নাটক টি,0,0,0,0,0,0
এক্সপ্রেশন দেখে মনে হচ্ছে রমজানের তিরিশ টা দিন অনেক ধৈর্য্য ধইরা ছিলো ৷,0,0,0,0,1,0
গল্পের প্রথম দিকটা খুবই সুন্দর ছিল আর মাঝখানে কিছু এলোমেলো আর শেষটা খুবই সুন্দর হল,0,0,0,0,0,0
জের লেংটা ভিডিও বের হয় আর আপনার মুখে ইসলাম? ইফতারি শেষ হইলেই ঝাপায় পরবে সব।,1,0,1,0,0,1
"বার্মার ভোটের রায় সত্যিকার গণতন্ত্রে য্রাত্রা মাফ করবেন, আপনার কাছে গণতন্ত্র শিখতে চাই না",0,1,0,0,0,0
আজীবন বহিষ্কার কি নয়?,0,0,0,1,0,0
"হাউয়ার পোলা, তর এই কুত্তার লাহান খোমা ডা চোক্ষের সামনে আওয়ার পর পরই আর্জেন্টিনা ৩ডা গোল খাইসে!",1,0,0,0,0,0
অসাধারন ভাইবিশেষ করে নামাজ পড়ার বিষয়টা,0,0,0,0,0,0
কেন রে রাজাকার তো কি পায়ের নিচে মাটি নেই,0,1,0,0,0,0
"তোর মায়রে,বাল",1,0,0,0,0,1
ব্রো প্লীজ ! কাল আপনি না খেললেই ফাইনালে চলে যাবো ইনশাল্লাহ ।,0,0,0,0,1,1
কোনো মেয়ের দিকে এমন ভাবে তাকাও যেন সে নিজের শাড়ি খুলে ফেলে,1,0,0,0,1,0
তর ভোদায় মনে হয় অনেক রসে বড়া কাছে পাইলে রড ডোকাই দিতাম,1,0,0,0,0,1
ওরে নাইজেরিয়ান পুরুষের অস্ত্র দিয়ে থেরাপী দিতে হবে,1,0,0,1,0,0
"পেনিস যেটা কালো, দৈর্ঘ্য তার একটু বেশিই হবে",1,0,0,0,1,0
"কোথায় আজ ক্রসফায়ার বিরোধী মানবধিকার কমিশনার, কোথায় সুলতানা কামাল? ধিক্কার তোদের বোধকে",0,1,0,0,0,1
আইন অনুযায়ী তাকে মাটির মধ্যে গর্ত করে হাফ পুঁতে দিয়ে দুর থেকে পাথর ছুরে হত্যা করার বিধান দেওয়া আছে,0,1,0,0,0,0
এই শালা মালাউনের বাচচ্চাবলে কি রে।,0,0,1,0,0,0
খুবই ভালো লাগলো এক কথায় মন ছুঁয়ে গেল,0,0,0,0,0,0
দাদারা চায়নার সাথে কনো রকম গুটিবাজি করলে রেন্ডিয়া কে তামা তামা করবে,0,1,0,0,0,0
মনিরুজ্জামান একটা আওয়ামীলীগ চোর এটা কথায়ই বোঝা যায়,0,0,0,0,0,1
নামজ কথা শুলে খুব ভালো লাগলে,0,0,0,0,0,0
এই রোহিংগারা বাংলাদেশীদের সাথে সৌদী আরবে কি ব্যবহার করে তা সৌদী প্রবাসীরা জানে এবং বাংলাদেশী পাশপোর্ট নিয়ে এদের কুকামের জন্য সৌদী আরবে দশ বছর বাংগালীর ভীসা বন্ধ ছিল। বাংলাদেশী পাশপোর্টধারী অনেক রোহিংগা বাংলাদেশ পাবলিক মেডিকেল ও ইনজিনিয়ারিং কলেজ থেকে ডাক্তার ইনজিনিয়ার হয়ে বিদেশে গিয়ে নিজেকে রোহিংগা পরিচয় দেয়। কক্সবাজারে আগে যারা ঢুকেছে তারা বিভিন্ন অপকর্মে লিপ্ত ও পাকিদের সমর্থক। রাজাকারেরা এখন চেষ্টায় আছে আারও কিছু ঢুকায়ে দেশে বিশৃংখলা সৃষ্টির সুযোগ করার জন্য।,0,1,0,0,0,0
মাগি গুলা যে হইছে তা আমি চিন্তা করে পাইনা,1,0,0,0,0,0
"ছাত্রলীগ, যুবলীগ, আওয়ামীলীগ একটি জঙ্গি, সন্ত্রাসী সংগঠন এদের নিষিদ্ধ ঘোষণা করা হোক",0,1,0,0,0,0
যুদ্ধের ভিডিও দেখন তার পরে বুঝবেন ভারত বাংলাদেশে বুন্ধু না শত্রু,0,1,0,0,0,0
অশিক্ষিত কুত্তার বাচ্চা। জংগি শালা।,1,0,0,0,0,1
আমরা তো দেখলাম ইউটিউব এর মাধ্যমে গাড়ি আওয়ামী লীগ এর লোকজনে পোড়ালো। অথচ মামলা করে দিলো বিএনপির নামে।,0,1,0,0,0,0
এরকম কাহিনি তো বোম্বাই সিনেমাতেও নাই,0,0,0,0,1,0
ভাল হইছে কিন্তু ভালবাসা যখন বউর দিকে আসে তখন নাটক শেষ হয় যায়,0,0,0,0,0,0
নামাজ এর ম্যাসেজটা ভালো লাগছে,0,0,0,0,0,0
তারেক আমাকে মারার জন্য ফোনে ব্লু হোয়েল গেইম ইন্সটল করে দিছে আমি আর বাচুম না,0,0,0,0,1,0
মদ ছাড়া আমি তোকে চুদবো খালি,1,0,0,0,0,0
এই ঈদে সব গুলো চ্যানেলের নাটুকই যদি নিশোর হতো তাহলে কতই না মজা হতো তাই না বন্ধুরা নিশো মানে অন্য আমেজ অন্য সাদ প্রতিটি সময় বাংলা নাটুকের সাথে ছিলাম ও আছি,0,0,0,0,0,0
অসাধারণ লাগছে নাটকটি অপূর্ব ভাইয়ের নাটক খুব ভালো লাগেকিন্তু শেষের দিকে কারো সাথে দেখা হল না,0,0,0,0,0,0
ম্যাডাম সর্বোচ্চ সাজা বলতে ফাসিঁ হতে পারে তা করতে গেলে বেশ সমায়ের প্রয়োজন। জনগন খাদিজার এই ঘটনার বিচার খুব দ্রুত পেতে চাই। তাই বলছি ক্রসফায়ার তো আমাদের নিত্য দিনের সঙ্গী। তাই বলিষ্ঠ কন্ঠে বলতে চাই বদ বদরুলের মত জানোয়ারকে জনসম্মুখে ক্রসফায়ার দেয়া হোক।,0,1,0,0,0,0
"তুদের কে বের ক রে দেয়াই খুব ভাল করছে,",0,1,0,0,0,0
"পুলিশ তো সব ক্ষেত্রে সাহায্য করতে আসে না আর মহিলা থানা গুলো আরও অপদার্থ, আপনি লাস্ট এর বাড়িতে ঢুকলেন কেনো চোদার জন্য, এত বয়স একটা রিকোয়েস্ট করি এই সব ছাড়ি আল্লাহ্ পথে ফিরে আস দেখবে জীবনে শুধুই শান্তি আসবে",1,0,0,0,0,1
এই নাটকের পোশাক গুলো ছিলো অসাধারণ,0,0,0,0,0,0
আমি কি লিখবো ভাষা খোজে পাইনা অসাধারন নাটক,0,0,0,0,0,0
বাংলাদেশ থেকে নিশ্চয়ই কেউ বিবৃতি দিয়ে বলবেন খালেদা জিয়াকে হুকুমের আসামী করা হোক।,0,1,0,0,0,0
ভারতীয় সিনেমা হল গুলো থেকে বাংলাদেশ একদম আলাদা। আমি দেখেছি যখন হলে পতাকা দেখানো হয় তখন অনেকেই দাঁড়িয়ে পড়ে। আবার সব হলেই না। শুধু ঢাকাতেই হয় বেশী।,0,0,0,0,0,0
মেহজাবিন + মিজানুর রহমান আরিয়ান এক কথায় অসাধারণবড় ছেলে বুকের বা পাশে তুমি আমারই,0,0,0,0,0,0
অসাধারন নাটক চোখে পানি আসল আমার জয়েন পেমিলী,0,0,0,0,0,0
"নৌকা বোঝাই শাপলা চত্ত্বরের লাশ, কোন সাহসে তোরা ভোট চাস?",0,0,0,1,0,0
রাষ্ট্রের বিরুদ্ধে রাষ্ট্রদ্রোহির শাস্তি দেওয়া দরকার!,0,0,0,1,0,0
পুলিশ যখন টিয়ারশেল আর লাঠি চার্জ করবো তখন এই মাটকার পোরে ঢাল বানামু তুই মরবি না বাজবি কেউ চুদবোও না,1,0,0,0,0,1
"বিএসএফ পাকিস্তানের চেয়ে বেশি বাংলাদেশি হত্যা করছে, বাংলাদেশ কি এক অঘোষিত ফিলিস্তিন হতে চলেছে?",0,1,0,0,0,0
"হানকির পোয়া সোদানীর পোয়া,চুতমারানি, বাইনচোদ,সাওয়ারপুত, খানকি,মাগী,সোদানী,,,তোরে কিত্তে মন চার নিজেও ন জানি?সোদানীর পুয়া তুর নাম আরিফ হোন মাগীর পুয়া দিয়িল দে ও সোদানীর পুয়া",1,0,0,0,0,1
অপুর্ব ভাই আপনার সাথে দেখা করব আমার নাম নাঈম,0,0,0,0,0,0
দোয়া করি আরো ভাল ভাল নাটক আমাদের কে উপহার দিতে পারবেন ভাল থাকবেন শোভ কামনা,0,0,0,0,0,0
"দালাল মাদারি,জামাতের একটা আসনের হাফ ভোটে ও পাবে না,",1,0,0,0,0,1
ভারতের জনগণ কি বোকাচোদা? বাংলাদেশের দুইটাকা কে ভারতের পাঁচ টাকা দিয়ে কিনবে? ভারতের পাঁচ টাকার দাম বাংলাদেশের দশ টাকার সমান ।,1,0,0,0,0,0
অসাধারণ লাগলো নাটকটি তবে নামাজের অংশ টুকু ছিলো অসাধারণ,0,0,0,0,0,0
দূরে দেখতে পেলাম জামাই উপুত হয়ে তার চেয়ারের নিচে আর এক পায়ের জুতা খুঁজছে,0,0,0,0,0,0
ভাই কিছু মনে না করলে একটু বলবেন এই বাটি কি ম্যাগী নুড্যলস্ এর সাথে ফ্রি দিলো কিনা ?,0,0,0,0,1,0
চোদেনা মাঙ্গে,1,0,0,0,0,0
"কমেন্ট ডিলিট করতে থাক, দেখি তুই কমেন্ট লাইন ডিলিট তো কর",0,0,0,1,0,0
এজইফ এই ইন্টার্ভিউতে একটাই প্রশ্ন... এবং এটার উত্তর না পেলে আজকে আমাকে বাসায় যেতে দিবে না... উত্তর দিতেই হবে,0,0,0,0,0,0
উনি সরু চোখ করে সবাইকে ধাক্কা দিতে দিতে ১ তলায় নামলেন... নামার আগেও উঁকি দিয়ে দেখলেন একবার আমাকে,0,0,0,0,0,0
"নেশা করে পুরাই মাতাল, নাস্তীক পারার সদস্য কিনা সে জন্যয় এ অবস্থা",0,0,0,0,0,1
ভাই এ ভাই আপনার নাটক টা অনেক সুন্দর হয়েছে,0,0,0,0,0,0
জুতা মারলাম তোর কপালে।,0,0,0,1,0,1
"খানকির পোলারে যারা গালি দিছেন তারা সামনে থেকে সরন দুচান,,,পেছনে অনেক বড় সিরিয়াল",1,0,0,0,0,1
"হ্যাঁ, এইযে তুই, তুই শালা বিশাল হারামি",0,0,0,0,0,1
২০১৫ সালের নিউজ দিয়ে গুজব ছড়াবেন না।,0,0,0,0,0,0
মমতাজের মতো নাপাক মহিলা সংসদে কেন।,0,1,0,0,0,1
হারামির বাচ্চা,1,0,0,0,0,1
চমৎকার নাটক খুব ভালো লাগছে,0,0,0,0,0,0
বাংলাদেশ তোদের অর্থনীতির ৫ম রেমিট্যান্স মুলুক। আর হ্যাঁ রেমিটেন্স বুঝিস তো? ফকিন্নির মুখে দৈব বচন!,0,0,0,0,0,1
মাঝেমধ্যে ভুইলা যাই...তখন আবেগ এসে পড়ে,0,0,0,0,0,0
"মানুষের ব্যবহারের সাথে চেহারার অনেকটা মিল থাকে। ব্যবহার পাল্টানোর সাথে সাথে চেহারাও পাল্টে।সে তার বাড়িতে,,পুরনো একটা ঘর পুড়িয়েছিলেন নিজের কারনে।উনার প্রতিবেশী হিন্দুরাই উনার আর তার ভাইয়ের অত্যাচারে অতিষ্ঠ।কারন তার স্বামী দুদকের উপ পরিচালক।তাকে জাতীয় বেইমান উপাধী দেয়া অস্বাবিক কিছু না। ছিড়া জুতা দ্বারা নির্মিত মালা দিয়ে,,মিথ্যার জন্য অস্কার দেয়া উচিত",0,0,0,0,0,1
রেডি হও মালাউনটা ভারতের ইদুরের মত বিয়েছেপ মরবে।।,0,0,1,1,0,0
ভাই নাটক শেষে চোখ দিয়ে পানি বের হইয়ে গালোখুব ভালো লাগছে অমি ভাই,0,0,0,0,0,0
সাফা কে সামনে পাইলে দিয়া পিটাই তাম,0,0,0,1,0,1
"ওরে হুজুরের মাথা তুইলা দিমু, শয়তান ছেমড়ি!",0,0,0,1,0,0
আচ্ছা বাংলাদেল কী সেমী ফাইনালে গিয়েছে ? আজ ভারতের একজনের সাথে চেট করলাম তারা আমাদের টাইগারকে কুকুরের সাথে তুলনা করেছে । সালারে খুব দিয়েছি,0,0,0,0,1,0
ইসলাম বিরোধি কথা যে বলবে তাকেই বয়কট করতে হবে !,0,0,1,0,0,0
এই খানকির মেয়ে কে ফাসি দেয়া দরকার,1,0,0,1,0,0
ভাই আপনার প্রতি যথাযথ সম্মান প্রদর্শন করে টি প্রশ্নে উত্তর জানতে চাচ্ছি ভারত এদেশকে স্বাধীনতা অর্জনে সহায়তার বিনিময়ে কী নিয়েছে? মুসলিমরা কীভাবে ব্রিটিশ শাসন শৃঙ্খল থেকে ভারতকে মুক্ত করল? আমি নিজে সীমিত জ্ঞানের অধিকারী।তবে ইতিহাস পড়ে যেটুকু জানি তা হলো সিপাহী বিদ্রোহ ছিল ব্রিটিশদের বিরুদ্ধে প্রথম প্রত্যক্ষ স্বাধীনতা সংগ্রাম। সেখানে তো হিন্দু মুসলিম উভয়েরই অবদান ছিল। আজকাল প্রায়ই বাংলাদেশে হিন্দু নির্যাতন সম্পকে বলে ভারতে মুসলমানরা কেন নির্যাতিত হচ্ছে? আচ্ছা বলেন,0,1,0,0,0,0
নাটক টা কিন্ত বেশ ভালোই লেগেছে,0,0,0,0,0,0
"ওস্তাদ, গোয়া মারা শারা",1,0,0,0,0,0
কান্না থামাইতে পারলাম না নাটকটি দেখে বৃন্দাবন দাশকে অনেক অনেক ধন্যবাদ বর্তমান সমাজের চিত্র এই যে নিজেদের স্বার্থ রক্ষার জন্য বিবাহ উপযুক্ত বোনকে বিয়ে না দিয়ে সংসারের কাজ করে নেয় এবং নিজেদের স্ত্রীদের কে সোনা ময়না আদর করে খাটে তুলে রাখেএকদিন ফুলি রান্না বন্ধ করে দিলে সকলের উপোশ থাকতে হয়,0,0,0,0,0,0
অমিয় ভাই তুমি আসলেই জিনিয়াস,0,0,0,0,0,0
ডঃ কামাল হোসেন ভারতের দালাল হয়ে বিএনপিকে ধ্বংস করতে এসেছে ।,0,1,0,0,0,0
মাবরুর রশিদ বান্নাহ একজন ব্রিলিয়ান্ট ডিরেক্টর তার প্রতিটি কাজ এত বাস্তবিক ভাবে ফুটিয়ে তোলেন যা তুলনার শেষ নেই,0,0,0,0,0,0
ওই ইন্ডিয়ান আম্পায়ার রবি হালার পোরে থার্ড আম্পায়ার দিতে কইছে কেডা?,0,0,0,0,0,1
এই যেন যউনাংগে ইট ডুকিয়ে পিষে ফেলা হল,0,0,0,1,0,0
নিশো ভাইয়া ছাড়া এত সুন্দর অভিনয় আর কেউ করতে পারে না,0,0,0,0,0,0
ডাক্তার দেখাবো নাকি ইগ্নর করবো বুঝতে পারছি না,0,0,0,0,0,0
যারা স্বেচ্ছায় পাকিদের দ্বারা গর্ভবতী হয়েছিল তাদের সন্তানেরা এখনো বাবা বাবা চিৎকার দেয়।,0,1,0,0,0,0
সেই ভালো হয়েছেনাটকহলটিমকেসুবোকামোনা,0,0,0,0,0,0
এটাই বাস্তব জীবনের গল্প হলেই ভালো হতো নাম টা,0,0,0,0,0,0
"যেদিন ঘটবে, সেদিন তো আর স্ট্যাটাস দিতে পারব না... তাই, আজ পোষ্টডেইটে স্ট্যাটাস দিয়ে এদের সবাইকে দোষী সাব্যস্ত করে গেলাম",0,0,0,0,0,0
গরীবের মাদারচোদ।,1,0,0,0,0,1
মাওলানা নিজামীল রিভিউ খরিজের আগে ভারতীয় হাইকমিশনারের বৈঠক প্রধান বিচারপতির সাথে ফাঁসির পর হাসিনাকে আমন্ত্রণ,0,1,0,0,0,0
ফর্ম হাতে নিয়ে দেখি ফর্ম নম্বর ১৯৯২,0,0,0,0,0,0
দাদা কি খেলে এসেছেন? ২০০-১৫০ রেট তো বেশি ছিলোনা,1,0,0,0,0,0
সব তো ঠিকই ছিলো কিন্তু ১০ বছর পর কলেজ কেমনে কি সাথে না হয় আরো ২ বছর ধরলাম তাও কি ১২ বছরে কেউ কলেজে যায় জানা ছিলো নাতবে নাটক টার কাহিনী ভালো ছিলো,0,0,0,0,0,0
খানকি! তুই অহনো জিন্দা আছোস?,1,0,0,1,0,0
এই কুত্তার বাচ্চার বিচার ছারাই ফাসি দিয়ে দেয়া ওচিত,0,1,0,0,0,0
বউ মুগ্ধ,0,0,0,0,0,0
তোদের কাছে বিনীত অনুরোধ ভারতে মারার সাথে সাথে একটা বোমা মায়ানমারের উপর ফেলিস।।।,0,1,0,0,0,0
কেও কেও বলছে ঢুকতে দাও আমি বলবো বাংলাদেশে একটি রোহিঙ্গা ঢুকতে দিয়েন না ।আর ভারতের কাথা বলছে যুদ্ধের সময় ভারত নিজের লাভের জন্য আশ্রয় দিয়েছিল।,0,1,0,0,0,0
এর অবস্থা দেখ শালায় কি করছে,0,0,0,0,1,0
ডাইরেক্ট তাবিজ্জার ভিত্রে ভইরা রাখবো বাইঞ্চুদ,1,0,0,0,0,0
অপূর্বের নাটক অপূর্ব হবেনা তাইকি কখনো হয় সত্যিয় নাটক টা অপূর্ব হয়েছে খুবি রোমান্টিক একটা নাটক আমার তো খুব ভালো লেগেছে,0,0,0,0,0,0
ঐ বেডি তুর বুকে দুধ আছেনি,1,0,0,0,0,0
নাটকের শেষে অংশ টা অনেক ভাল লাগলো এর মাধ্যমে সকলের কাছে নামাজ পড়ার জন্য উৎসাহ প্রদান করা হলো,0,0,0,0,0,0
তানজিন তিশা আমার ক্রাশ আর তার হাসি তো কথাই নাই মাথা ঘুরে জায়,0,0,0,0,0,0
হারিয়ে যাচ্ছে মনে হয় দিনদিন হাসিখুশি মানুষগুলো,0,0,0,0,0,0
এই ভাবে তাকালে রাতে কোলবালিশে আর মন বসবে না,0,0,0,0,1,0
"ভারতে ধর্ষণকারি আছে আছে 100 কোটি, আর মাতাল আছে 120 কোটি",0,0,0,0,1,1
মুখে গলায় আইন পড়ে রাস্তায় নামুন তাইলে বুঝুম ।,0,0,0,1,0,0
বর্তমানে নিশু ই সেরা অসাধারণ অভিনয়,0,0,0,0,0,0
অনেক ধন্যবাদ এচ সুন্দর নাটক উপহার দেয়ার জন্য,0,0,0,0,0,0
একে দেশ থেকে বিতারিত করা হোক,0,0,0,1,0,0
গুয়ার ভিতরে ভইড়া দিমু,1,0,0,1,0,0
তোমার বিচিতে চিমটি দিব বুজলে জানোয়ার,1,0,0,1,0,1
একটি সুন্দর জনসচেতনতা মূলক শিক্ষা পেলাম প্রেম ভালোবাসা এবং হাসির ফাকে নিশো ভাই অসাধারণ অভিনয় করেছেন বলতেই হবে,0,0,0,0,0,0
"মাশাআল্লাহ, আল্লাহ আপনাকে ও আপনার পরিবারের উত্তম ও নেক হায়াত দান করুন, আমিন।",0,0,0,0,0,0
"সিয়াম একটা পাডার পো পাডা,",0,1,0,0,0,0
একটা সুন্দর এবং অনেক সুন্দর বাস্তবতার নিরিখে তৈরি নাটকটাঅসাধারণবুকে ঊড়না টা দিলে একদম কম্পলিট হতো একটা জায়গায় ভুল হলো,0,0,0,0,0,0
মালাউনকা বাচ্চা কবি নিহি হোগা আচ্ছা তুই নিজের বর্ডারে প্রতিদিন হত্যা করতেছিস নিরহ বাংলাদেশিদের আর তুইকিনা বলিশ বাংলাদেশ মিয়ানমারের বর্ডারে শান্তি চাওয়ার মানি হয়না আগে ভারত বাংলাদেশ বর্ডারের শান্তি ফিয়ে দে,0,1,0,0,0,0
এইসব আতঙ্কবাদী ইসলাম ধর্ম সম্পর্কে কিছুই বলার নেই,0,0,1,0,0,0
"হাঁটলেই কচকচ করে শরীর, কাগজের আওয়াজে",0,0,0,0,0,0
ঠিক যেদিক থিকা আইছস ওইদিক থেইকা ভইরা দিমু,0,0,0,1,0,0
বেটাকে ধরে এনে ভারতের করোনা হাসপাতালে রোগীদের সাথে অক্সিজেন ছাড়া রাখতে পারলে বুঝতো !,0,0,0,0,1,0
"ভাই হাসতে হাসতে চার বার কাপড় নষ্ট করছি, খাওয়ার জন্য ভাত পাইনি শালীর এখন আইছে ভাব দেখাইতে",0,0,0,0,1,0
... এই ম্যাজিকটা আপনার এলাকাতেও সম্ভব; ঢাকাকে ৮৪ টা এলাকায় ভাগ করা হয়েছে... এখন ২২ টা বিভাগের ডাটা তাদের হাতে...,0,0,0,0,0,0
একজন পাইলট একজন নার্সকে বিয়ে করেছে,0,0,0,0,0,0
প্রবাস থেকে দেখলামঅসাধারণ নাটকটিবৃন্দাবন দাস ও শাহনাজ খুশী ওদের দুই ছেলেও বেশ ভালো অভিনয় করছে,0,0,0,0,0,0
কঠিন সত্য হলো; এইজ ইজ নো গ্যারান্টি অফ মেচিউরিটি,0,0,0,0,0,0
